name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,gender,debt_to_income,income_per_exp,credit_category,loan_to_points,income_bracket,gender_encoded
Allison Hill,East Jill,113810,389,39698,27,50.0,False,Female,0.348809419207451,4064.6428571428573,Poor,778.3921568627451,100K-130K,0
Brandon Hall,New Jamesside,44592,729,15446,28,55.0,False,Male,0.3463850017940438,1537.655172413793,Good,275.82142857142856,40K-70K,1
Rhonda Smith,Lake Roberto,33278,584,11189,13,45.0,False,Female,0.33622813871025903,2377.0,Fair,243.2391304347826,<40K,0
Gabrielle Davis,West Melanieview,127196,344,48823,29,50.0,False,Female,0.38384068681405076,4239.866666666667,Poor,957.3137254901961,100K-130K,0
Valerie Gray,Mariastad,66048,496,47174,4,25.0,False,Female,0.7142381298449613,13209.6,Poor,1814.3846153846155,40K-70K,0
Darren Roberts,Port Jesseville,62098,689,19217,29,65.0,True,Male,0.30946246255918064,2069.9333333333334,Good,291.1666666666667,40K-70K,1
Holly Wood,Lake Joseph,59256,373,40920,40,35.0,False,Female,0.690562980963953,1445.2682926829268,Poor,1136.6666666666667,40K-70K,0
Nicholas Martin,Nelsonside,48289,524,45866,20,25.0,False,Male,0.9498229410424734,2299.4761904761904,Poor,1764.076923076923,40K-70K,1
Patty Perez,Port Leslieview,126530,367,14826,36,55.0,False,Female,0.11717379277641667,3419.7297297297296,Poor,264.75,100K-130K,0
Emily Rios,Wilkersonmouth,43434,446,18359,8,20.0,False,Female,0.422687295666989,4826.0,Poor,874.2380952380952,40K-70K,0
Justin Baker,Hurstfurt,118696,670,15373,8,75.0,True,Male,0.12951573768282,13188.444444444445,Good,202.27631578947367,100K-130K,1
Ann Williams,East Courtneychester,127080,365,26216,24,55.0,False,Female,0.2062952470884482,5083.2,Poor,468.14285714285717,100K-130K,0
Julie King,Lake Jenniferside,146939,573,43006,21,50.0,False,Female,0.29267927507332975,6679.045454545455,Poor,843.2549019607843,130K+,0
Jeffrey Chavez,Teresaburgh,101482,819,7973,40,100.0,True,Male,0.07856565696379654,2475.170731707317,Excellent,78.94059405940594,100K-130K,1
Mark Lynch,West Kathryn,41395,843,1037,38,80.0,True,Male,0.02505133470225873,1061.4102564102564,Excellent,12.802469135802468,40K-70K,1
Alec Hickman,Johnbury,107397,380,6613,31,60.0,True,Male,0.06157527677681872,3356.15625,Poor,108.40983606557377,100K-130K,1
Vanessa Patel,East Donna,85302,469,18370,33,50.0,False,Female,0.21535251225059202,2508.8823529411766,Poor,360.19607843137254,70K-100K,0
Jenny Lewis,Lake Larry,34165,682,29711,33,50.0,False,Female,0.8696326650080491,1004.8529411764706,Good,582.5686274509804,<40K,0
David Brown,New Angelashire,33905,525,1471,4,30.0,False,Male,0.04338593127857248,6781.0,Poor,47.45161290322581,<40K,1
Amy Jones,Port Markhaven,42280,543,19250,31,25.0,False,Female,0.4552980132450331,1321.25,Poor,740.3846153846154,40K-70K,0
Carlos Walls,Sanchezfort,58657,716,13478,6,65.0,True,Male,0.22977649726375368,8379.57142857143,Good,204.21212121212122,40K-70K,1
Jeffrey Henderson,Shieldston,60495,400,4972,25,50.0,False,Male,0.0821886106289776,2326.730769230769,Poor,97.49019607843137,40K-70K,1
Rebecca Rodriguez,East Amanda,96237,443,28648,11,45.0,False,Female,0.29768176480979247,8019.75,Poor,622.7826086956521,70K-100K,0
David Leblanc,Mortonside,108907,400,4315,34,60.0,True,Male,0.03962096100342494,3111.6285714285714,Poor,70.73770491803279,100K-130K,1
Tracy House,East Richard,33478,792,15008,25,60.0,True,Female,0.4482944022940438,1287.6153846153845,Excellent,246.0327868852459,<40K,0
Carmen Smith,Bakermouth,103563,592,28722,35,65.0,True,Female,0.2773384316792677,2876.75,Fair,435.1818181818182,100K-130K,0
Katelyn Lee,North Beth,56062,362,21552,3,30.0,False,Female,0.3844315222432307,14015.5,Poor,695.2258064516129,40K-70K,0
John Calhoun,North Susan,123850,382,13178,4,45.0,False,Male,0.10640290674202664,24770.0,Poor,286.4782608695652,100K-130K,1
Megan Young,New Johnton,115181,383,28474,37,55.0,False,Female,0.24721091152186558,3031.0789473684213,Poor,508.4642857142857,100K-130K,0
Emily Green,Johnfurt,121924,434,45019,19,50.0,False,Female,0.36923821396935796,6096.2,Poor,882.7254901960785,100K-130K,0
Timothy Walls,South Christineshire,101426,402,5801,34,60.0,True,Male,0.05719440774554848,2897.885714285714,Poor,95.09836065573771,100K-130K,1
Derek Mahoney,East Mikeburgh,84987,748,36600,19,75.0,True,Male,0.4306541000388295,4249.35,Excellent,481.57894736842104,70K-100K,1
Victoria Valdez,Lake Lisaport,58893,406,9800,16,45.0,False,Female,0.16640347749308068,3464.294117647059,Poor,213.04347826086956,40K-70K,0
Brian Tran,Juanborough,88878,651,14342,40,65.0,True,Male,0.16136726749026756,2167.756097560976,Fair,217.3030303030303,70K-100K,1
Kathy King,North Cynthiaview,107236,345,1232,21,60.0,True,Female,0.01148867917490395,4874.363636363636,Poor,20.19672131147541,100K-130K,0
Mandy Green,Arnoldchester,66463,309,8331,4,35.0,False,Female,0.12534793795043858,13292.6,Poor,231.41666666666666,40K-70K,0
Melissa Hernandez,Port Mikeside,136093,451,29166,8,50.0,False,Female,0.21430933258874446,15121.444444444445,Poor,571.8823529411765,130K+,0
Jacob Fitzpatrick,West Jasonbury,143940,405,24178,35,55.0,False,Male,0.16797276643045714,3998.3333333333335,Poor,431.75,130K+,1
Jennifer Oliver,East Michelle,30851,481,28020,1,10.0,False,Female,0.9082363618683349,15425.5,Poor,2547.2727272727275,<40K,0
Tim Patton,Phambury,129458,573,11433,6,55.0,False,Male,0.08831435677980504,18494.0,Poor,204.16071428571428,100K-130K,1
Andrew Ruiz,Port Samantha,135620,658,21000,14,70.0,True,Male,0.15484441822740008,9041.333333333334,Fair,295.77464788732397,130K+,1
Matthew Ross,Michelleview,50926,659,43040,32,50.0,False,Male,0.8451478616031104,1543.2121212121212,Fair,843.9215686274509,40K-70K,1
William Herrera,North Natalieview,121506,482,39049,16,50.0,False,Male,0.3213750761279278,7147.411764705882,Poor,765.6666666666666,100K-130K,1
Kyle Reed,Samuelhaven,85392,418,26244,36,45.0,False,Female,0.3073355817875211,2307.891891891892,Poor,570.5217391304348,70K-100K,0
Andrew Graham,West Ryan,74597,638,41839,20,50.0,False,Male,0.5608670589970106,3552.2380952380954,Fair,820.3725490196078,70K-100K,1
Belinda Mccullough,Elizabethmouth,66421,712,46692,18,60.0,True,Female,0.7029704460938558,3495.842105263158,Good,765.4426229508197,40K-70K,0
Cheryl Ortega,Byrdburgh,50379,608,27612,35,50.0,False,Female,0.5480855118204013,1399.4166666666667,Fair,541.4117647058823,40K-70K,0
Elizabeth Clark,Stevenmouth,58221,518,34500,30,35.0,False,Female,0.5925696913484825,1878.0967741935483,Poor,958.3333333333334,40K-70K,0
Toni Fitzgerald,West Zacharymouth,130072,395,16392,19,55.0,False,Male,0.1260225106095086,6503.6,Poor,292.7142857142857,130K+,1
Curtis Johnson,South Cheryl,74118,374,30846,26,35.0,False,Male,0.4161742086942443,2745.1111111111113,Poor,856.8333333333334,70K-100K,1
Laura Higgins,Snyderbury,43396,451,43995,0,10.0,False,Female,1.0138031154945155,43396.0,Poor,3999.5454545454545,40K-70K,0
Shannon Mcclure,Robinsonhaven,42156,775,4291,35,70.0,True,Female,0.10178859474333428,1171.0,Excellent,60.436619718309856,40K-70K,0
Ryan Bryant,Contrerasside,79797,624,30004,39,60.0,True,Male,0.3760041104302167,1994.925,Fair,491.8688524590164,70K-100K,1
Stephanie Simmons,Merrittfort,42676,760,17986,15,60.0,True,Female,0.4214546817883588,2667.25,Excellent,294.8524590163934,40K-70K,0
Destiny Strickland,Simsview,77052,750,6077,18,90.0,True,Female,0.0788688158646109,4055.3684210526317,Excellent,66.78021978021978,70K-100K,0
George Orozco,East Edwardfurt,141082,456,47295,13,50.0,False,Male,0.33523057512652216,10077.285714285714,Poor,927.3529411764706,130K+,1
Jason Daniels,Brownchester,75082,698,39278,1,50.0,False,Male,0.5231347060547135,37541.0,Good,770.156862745098,70K-100K,1
Pamela James,West Kennethfurt,109131,729,36272,34,75.0,True,Female,0.33237118692213946,3118.0285714285715,Good,477.2631578947368,100K-130K,0
Stephanie Freeman,Ryantown,64671,698,23028,25,65.0,True,Female,0.3560792318040544,2487.346153846154,Good,348.90909090909093,40K-70K,0
Sara Calhoun,South Brittanytown,135791,385,43123,27,50.0,False,Female,0.31756891104712387,4849.678571428572,Poor,845.5490196078431,130K+,0
Joel Williams,Murphymouth,35695,634,23118,24,40.0,False,Male,0.6476537330158285,1427.8,Fair,563.8536585365854,<40K,1
Trevor Fisher,South Andrewside,125647,353,23935,14,55.0,False,Male,0.1904940030402636,8376.466666666667,Poor,427.4107142857143,100K-130K,1
Rachael Pearson,East Jamestown,90217,456,16633,8,45.0,False,Female,0.18436658279481694,10024.111111111111,Poor,361.5869565217391,70K-100K,0
Brian Gould,Lyonsstad,100284,471,40707,38,45.0,False,Male,0.4059171951657293,2571.3846153846152,Poor,884.9347826086956,100K-130K,1
Michelle Strickland,West Daniel,46361,326,21444,36,25.0,False,Female,0.4625439485774681,1253.0,Poor,824.7692307692307,40K-70K,0
Tina Sanders,North Brittany,79615,548,7678,19,55.0,False,Female,0.09643911323243108,3980.75,Poor,137.10714285714286,70K-100K,0
Lindsay Martinez,West Amandastad,40328,370,34158,21,25.0,False,Female,0.8470045625867884,1833.090909090909,Poor,1313.7692307692307,40K-70K,0
Jason Henry,Yumouth,102357,456,29540,11,50.0,False,Male,0.28859775100872437,8529.75,Poor,579.2156862745098,100K-130K,1
Tracie Nelson,Marshallshire,68427,574,22122,15,40.0,False,Female,0.32329343680126266,4276.6875,Poor,539.560975609756,40K-70K,0
Angelica Keith,Port Steven,138711,688,23046,1,65.0,True,Female,0.1661439972316543,69355.5,Good,349.1818181818182,130K+,0
Frederick Freeman MD,Matthewview,112397,310,34857,12,50.0,False,Male,0.3101239356922338,8645.923076923076,Poor,683.4705882352941,100K-130K,1
Nathan Freeman,Lake Thomas,111070,802,30371,1,75.0,True,Male,0.27344017286395966,55535.0,Excellent,399.61842105263156,100K-130K,1
Daniel Holt,Elizabethstad,146057,784,37272,33,85.0,True,Male,0.2551880430242987,4295.794117647059,Excellent,433.3953488372093,130K+,1
Zachary Pierce,Jacquelineview,142945,613,17475,14,70.0,True,Male,0.12224981636293679,9529.666666666666,Fair,246.1267605633803,130K+,1
Corey Wilson,East Javier,77400,795,19120,37,85.0,True,Male,0.2470284237726098,2036.842105263158,Excellent,222.32558139534885,70K-100K,1
Kelly Campbell,Port Jamesbury,105674,669,12759,19,70.0,True,Female,0.12073925468894903,5283.7,Fair,179.70422535211267,100K-130K,0
Joseph Hill,New Kellyberg,55203,802,7723,0,70.0,True,Male,0.1399018169302393,55203.0,Excellent,108.77464788732394,40K-70K,1
Julie Alexander,North Johnny,122349,789,8476,4,85.0,True,Female,0.06927723152620782,24469.8,Excellent,98.55813953488372,100K-130K,0
Benjamin Soto,East Edwardshire,39116,611,6582,15,50.0,False,Male,0.16826873913488086,2444.75,Fair,129.05882352941177,<40K,1
Phillip Obrien,Port Alexandra,36006,761,30014,19,60.0,True,Male,0.83358329167361,1800.3,Excellent,492.0327868852459,<40K,1
Wanda Torres,New Susanville,116673,512,41993,13,50.0,False,Female,0.3599204614606636,8333.785714285714,Poor,823.3921568627451,100K-130K,0
Brad Allen,East Aaronmouth,59871,781,20087,2,65.0,True,Male,0.33550466837032955,19957.0,Excellent,304.3484848484849,40K-70K,1
Michael Warner,Jonesbury,131327,570,41963,37,50.0,False,Male,0.31953063726423353,3455.9736842105262,Poor,822.8039215686274,130K+,1
Taylor Coleman,Lake Edward,67930,572,10321,4,35.0,False,Male,0.1519358162814662,13586.0,Poor,286.69444444444446,40K-70K,1
Ricky Larson,Scottmouth,40458,611,46857,25,40.0,False,Male,1.1581640219486875,1556.076923076923,Fair,1142.8536585365853,40K-70K,1
Kathryn Snyder,New Billchester,142108,630,40564,16,65.0,True,Female,0.2854448729135587,8359.29411764706,Fair,614.6060606060606,130K+,0
Darryl Craig,Port Emilyview,60512,341,12481,30,45.0,False,Male,0.20625661025912215,1952.0,Poor,271.32608695652175,40K-70K,1
Jessica Ramirez,Waltersfort,143571,393,31802,22,55.0,False,Female,0.22150712887700164,6242.217391304348,Poor,567.8928571428571,130K+,0
Frank Garcia,West Robert,43238,807,19888,25,65.0,True,Male,0.4599657708497155,1663.0,Excellent,301.3333333333333,40K-70K,1
Krista Gibson,Johnnyville,79823,713,34724,0,50.0,False,Female,0.4350124650789873,79823.0,Good,680.8627450980392,70K-100K,0
